Name_ID,Rating_ID,Comments,Specialist_ID,Address
Puducherry Diabetes Foundat..,3.9,Very good,Doctors For Dengue Fever Treatment,Morehvr
L K Nursing Home,4.3,Excellent,Doctors For Dengue Fever Treatment,"  No:25, Rajarajeswari nagar, Venkata Nagar, Pondicherry - 605011, Near Children Park"
East Coast Hospitals,4.1,Excellent,Doctors For Dengue Fever Treatment,"  No 370, 2nd Main Road Mahaveer Nagar, Lawspet, Pondicherry - 605008, Near Lawspet Police Station"
Delta Q Labs,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 1, Perambai Road, Moolakulam, Pondicherry - 605010, Near Vasantharaja Cinema Hall, Paris Nagar"
Clinic Nallam,4.1,Excellent,Doctors For Dengue Fever Treatment,"  No 36/A, Cuddalore Main Road, Mudaliarpet, Pondicherry - 605004, Near Communist Party Office"
Cosmic Consciousness,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 86, Eswaran Kovil Street, Pondicherry - 605001, Near Easwaran Kovil"
Dr. Narendra Agarawal,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 4, 7th Street, Lawspet Pondicherry, Pondicherry - 605008, Kumaran Nagar Near Cluny School"
First Step Home Healthcare,4.9,Excellent,Doctors For Dengue Fever Treatment,"  122, west car street, Villianur, Pondicherry - 605110, opposite to icici atm"
Dr. Uma Maheshwari S,4.8,Excellent,Doctors For Dengue Fever Treatment,"  No 169D, Sundaraju Chettiar Complex Cuddalore Main Road, Mudaliarpet, Pondicherry - 605004"
Dr. Arnabdey,4.7,Excellent,Doctors For Dengue Fever Treatment,"  No 2/A, New Street, Puthupet, Rajaji Nagar, Lawspet Pondicherry, Pondicherry - 605008"
Dr. Rajarathinam r,4.5,Excellent,General Physician Doctors,"  No 315, Mission Street, Puducherry H O, Pondicherry - 605001"
Sri Manakula Vinayagar Medi..,4.5,Excellent,General Physician Doctors,"  Grr Complex, Maraimalai Adigal Salai, Pondicherry - 605001"
Dr. Roshini Menon,4.5,Excellent,General Physician Doctors,"  Pondicherry-Villupuram Main Road, Pondicherry - 605001, Kalitheerthalkuppam Madagadipet"
Puduvai Life Line Hospital,4.4,Excellent,General Physician Doctors,"  No 34 1st Floor Plot No-146dr Roshni's Skin & Hair Speciality Centre, 100 Feet Road Cuddalore Road, Reddiar Palayam, Pondicherry - 605010, Natesan Nagar Near I G Statue"
Dr. Ayyappan K,4.4,Excellent,General Physician Doctors,"  No 36 A, Airport Main Road, Lawspet, Pondicherry - 605008"
Dr. Pandian S,4.4,Excellent,General Physician Doctors,"  No 211, Bussy Street, Pondicherry - 605001"
East Coast Hospitals Ltd,4.6,Excellent,General Physician Doctors,"  No 34-B, Cuddalore HO, PONDICHERRY - 607001, Rajambal Nagar"
Aum Hospitals,4.3,Excellent,General Physician Doctors,"  No 90, Thiruvalluvar Salai, Saram, Pondicherry - 605013, Near Naveena Theatre GardenPillai Thottam"
Sedhu Nursing Home,4.3,Excellent,General Physician Doctors,"  No 1, Cholai Nagar Main Road, Muthialpet, Pondicherry - 605003, Sapthagiri Garden Opposite Chinaathal School"
Dr. Udhayakumar,4.3,Excellent,General Physician Doctors,"  No 130, Perumal Koil Street, Bharathi Street-venkata Nagar, Pondicherry - 605001, Near Anandha Inn"
Dr. Dhandapani N L,4.2,Excellent,General Physician Doctors,"  No 230 Naveiranj Skin Clinic, Lenin Street, Saram, Pondicherry - 605013, Kosapalayam"
