0,Puducherry Diabetes Foundat..,3.9,Verygood,Doctors For Dengue Fever Treatment,"  No 86, Eswaran Kovil Street, Pondicherry - 605001, Near Easwaran Kovil"
1,L K Nursing Home,4.3,Excellent,Doctors For Dengue Fever Treatment,"  No:25, Rajarajeswari nagar, Venkata Nagar, Pondicherry - 605011, Near Children Park"
2,East Coast Hospitals,4.1,Excellent,Doctors For Dengue Fever Treatment,"  No 370, 2nd Main Road Mahaveer Nagar, Lawspet, Pondicherry - 605008, Near Lawspet Police Station"
3,Delta Q Labs,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 1, Perambai Road, Moolakulam, Pondicherry - 605010, Near Vasantharaja Cinema Hall, Paris Nagar"
4,Clinic Nallam,4.1,Excellent,Doctors For Dengue Fever Treatment,"  No 36/A, Cuddalore Main Road, Mudaliarpet, Pondicherry - 605004, Near Communist Party Office"
5,Cosmic Consciousness,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 86, Eswaran Kovil Street, Pondicherry - 605001, Near Easwaran Kovil"
6,Dr. Narendra Agarawal,5.0,Excellent,Doctors For Dengue Fever Treatment,"  No 4, 7th Street, Lawspet Pondicherry, Pondicherry - 605008, Kumaran Nagar Near Cluny School"
7,First Step Home Healthcare,4.9,Excellent,Doctors For Dengue Fever Treatment,"  122, west car street, Villianur, Pondicherry - 605110, opposite to icici atm"
8,Dr. Uma Maheshwari S,4.8,Excellent,Doctors For Dengue Fever Treatment,"  No 169D, Sundaraju Chettiar Complex Cuddalore Main Road, Mudaliarpet, Pondicherry - 605004"
9,Dr. Arnabdey,4.7,Excellent,Doctors For Dengue Fever Treatment,"  No 2/A, New Street, Puthupet, Rajaji Nagar, Lawspet Pondicherry, Pondicherry - 605008"
10,Dr. Rajarathinam r,4.5,Excellent,General Physician Doctors,"  No 315, Mission Street, Puducherry H O, Pondicherry - 605001"
11,Sri Manakula Vinayagar Medi..,4.5,Excellent,General Physician Doctors,"  Grr Complex, Maraimalai Adigal Salai, Pondicherry - 605001"
12,Dr. Roshini Menon,4.5,Excellent,General Physician Doctors,"  Pondicherry-Villupuram Main Road, Pondicherry - 605001, Kalitheerthalkuppam Madagadipet"
13,Puduvai Life Line Hospital,4.4,Excellent,General Physician Doctors,"  No 34 1st Floor Plot No-146dr Roshni's Skin & Hair Speciality Centre, 100 Feet Road Cuddalore Road, Reddiar Palayam, Pondicherry - 605010, Natesan Nagar Near I G Statue"
14,Dr. Ayyappan K,4.4,Excellent,General Physician Doctors,"  No 36 A, Airport Main Road, Lawspet, Pondicherry - 605008"
15,Dr. Pandian S,4.4,Excellent,General Physician Doctors,"  No 211, Bussy Street, Pondicherry - 605001"
16,East Coast Hospitals Ltd,4.6,Excellent,General Physician Doctors,"  No 34-B, Cuddalore HO, PONDICHERRY - 607001, Rajambal Nagar"
17,Aum Hospitals,4.3,Excellent,General Physician Doctors,"  No 90, Thiruvalluvar Salai, Saram, Pondicherry - 605013, Near Naveena Theatre GardenPillai Thottam"
18,Sedhu Nursing Home,4.3,Excellent,General Physician Doctors,"  No 1, Cholai Nagar Main Road, Muthialpet, Pondicherry - 605003, Sapthagiri Garden Opposite Chinaathal School"
19,Dr. Udhayakumar,4.3,Excellent,General Physician Doctors,"  No 130, Perumal Koil Street, Bharathi Street-venkata Nagar, Pondicherry - 605001, Near Anandha Inn"
20,Dr. Dhandapani N L,4.2,Excellent,General Physician Doctors,"  No 230 Naveiranj Skin Clinic, Lenin Street, Saram, Pondicherry - 605013, Kosapalayam"
21,Dr. Murali r,4.2,Excellent,General Physician Doctors,"  No 44, Mettu Street, Kosapalayam, Pondicherry - 605013"
22,New Medical Centre,4.1,Excellent,General Physician Doctors,"  No 77, Ambedkar Salai, Nellithope, Pondicherry - 605005"
23,St Joseph Cluny Hospital,4.1,Excellent,General Physician Doctors,"  No 159 &161, Bussy Street, Pondicherry - 605001, Near Chinna Manikoondu"
24,Ashwini Maternity Hospital,4.1,Excellent,General Physician Doctors,"  No 16, Roam Rolland Street, Pondicherry - 605001"
25,Dr. Vasudevan P l,4.1,Excellent,General Physician Doctors,"  No 90, Vazhudavur Main Road, Thattanchavadi, Pondicherry - 605009, Vvp Nagar"
26,Pondicherry Institute Of Me..,4.0,Verygood,General Physician Doctors,"  No 216, Bussy Street, Pondicherry - 605001, Opposite Anjappar Hotel"
27,Government General Hospital,4.0,Verygood,General Physician Doctors,"  Pondicherry University, Pondicherry - 605014, Ganapathichettikulam Kalathumettupathai Kalapet"
28,Dr. Vijayakumari R,4.0,Verygood,General Physician Doctors,"  Ambour Salai, Pondicherry - 605001"
29,A G Padmavathi Hospital Pvt..,3.9,Verygood,General Physician Doctors,"  No 6o, 4th Cross Street, Venkata Nagar, Pondicherry - 605011, velsokkanatham kalyana mandapam"
30,Sri Arunachalam Hospital,3.9,Verygood,General Physician Doctors,"  No R S 127/ 1 A, Villiayanoor Main Road, Pondicherry - 605001, Arumparthapuram"
31,Sri Venkateshwara Hospital,3.8,Verygood,General Physician Doctors,"  No 205, Chinna Subrayapillai Street, Pondicherry - 605001, Opposite Kamban Kalai Arangam"
32,Dr. Radha Krishnan b,3.8,Verygood,General Physician Doctors,"  No 13 A, Pondy Villupuram Main Road, Ariyur, Pondicherry - 605003, Ariyur 605102 villupuram"
33,Be Well Hospitals,3.7,Verygood,General Physician Doctors,"  No 179, Bussy Street, Pondicherry - 605001"
34,Dr. Nirmala Babu,3.5,Verygood,General Physician Doctors,"  No 15, East Coast Road, Lawspet Pondicherry, Pondicherry - 605008, Green Gardens"
35,Sri Krishna Nursing Home,3.9,Verygood,General Physician Doctors,"  Sathani Street, Mudaliarpet, Pondicherry - 605004, Kuyavarpalayam"
36,Dr. Vasudevaiah V,4.3,Excellent,General Physician Doctors,"  No 76, Lenin Street, Saram, Pondicherry - 605013, Kosapalayam"
37,Santhigiri Ayurveda & Siddh..,4.1,Excellent,General Physician Doctors,"  No 181, Bussy Street, Pondicherry - 605001, Near Aruna Lab"
38,Dr. Uma Maheshwaran,4.1,Excellent,General Physician Doctors,"  No 6 B Block Devi Appartments, S V Patel Salai, Pondicherry - 605001, near achiyar school"
39,Dr. Lakshmipathi k,4.8,Excellent,General Physician Doctors,"  Sri Arunachalam Hospital, Chinnasuburaya Pillai Street, Pondicherry - 605001"
40,Brain Nerve & Muscle Center,2.8,Good,General Physician Doctors,"  No 143 Lakshmi Ortho Clinic, Bussy Street, Pondicherry - 605001, Near Manikoondu"
41,Dr. Selvalingam e,4.7,Excellent,General Physician Doctors,"  No 3, Library Street, Saram, Pondicherry - 605013, Kuyavarpalayam Near Thiruvalluvar Salai Cutting"
42,Dr. Augustine Paul R m,5.0,Excellent,General Physician Doctors,"  No 201, Bussy Street, Pondicheery, Pondicherry - 605001"
43,Annai Eye Care Clinic,5.0,Excellent,General Physician Doctors,"  No 19, Villianur Road, Nellithope, Pondicherry - 605005, Victoria Nagar Opposite Aryas Hotel & Near Casino Bakery"
44,Dr. Murugesan n,4.3,Excellent,General Physician Doctors,"  No 14, Perumal Koil Street, Villianur, Pondicherry - 605110, Near Perumal Koil"
45,Dr. Jawahar Babu M k,3.5,Verygood,General Physician Doctors,"  No 133, 100 Feet Road, Nellithope, Pondicherry - 605005, Natesan Nagar"
46,Dr. Gunasekaran m,3.1,Verygood,General Physician Doctors,"  No 102, Kasturibai Nagar, Thattanchavadi, Pondicherry - 605009, Near SI Steel Hardware Shop"
47,Dr. Usha Karthikeyan,3.5,Verygood,General Physician Doctors,"  No 6 B, Vazhudavur Road, Thattanchavadi, Pondicherry - 605009, Gandhi Nagar"
48,Dr. Atul M Bage,3.7,Verygood,General Physician Doctors,"  No 73, Kamatchi Amman Koil Street, Pondicherry - 605001"
49,Dr. Sree Ramulu Reddy Cmv,4.0,Verygood,General Physician Doctors,"  No 215, Bussy Street, Puducherry H O, Pondicherry - 605001"
50,St Marys Eye Care,4.4,Excellent,General Physician Doctors,"  No 125, Lalbahadur Sastry Street, Pondicherry - 605001"
51,Jayakodi Hospitals,4.8,Excellent,General Physician Doctors,"  No 58, Bussy Street, Puducherry H O, Pondicherry - 605001"
52,Dr. Namachivayam V,4.8,Excellent,General Physician Doctors,"  No:211A, TV Malai Road, Tirukannur, Pondicherry - 605501"
53,Shree Varma Hospitals,3.7,Verygood,General Physician Doctors,"  No 14-A, Bashiam Reddy Street, Cuddalore HO, PONDICHERRY - 607001"
54,Dr. Venkateswaralou N,4.5,Excellent,General Physician Doctors,"  No 12, Goubert Avenue, Pondicherry - 605001, Beach Road"
55,Pondy Surgical Center,4.5,Excellent,General Physician Doctors,"  No 478, Bharathi Street, Pondicherry - 605001, Near Rosema Kalyana Mandapam"
56,Dr. Sachidhanandham,4.1,Excellent,General Physician Doctors,"  No 305, Bharathiyar Street, Lawspet, Pondicherry - 605008, Near St Cluny School Ashok Nagar"
57,Dr. Jayanthi Gurumurthy,5.0,Excellent,General Physician Doctors,"  No 392, Bharathi Street, Pondicherry - 605001"
58,Dr. Buvanaratchagan A,4.0,Verygood,General Physician Doctors,"  No 59, Thanthai Periyar Nagar, Nellithope, Pondicherry - 605005"
59,Dr. Nethaji l,2.8,Good,General Physician Doctors,"  No:384, Bussy Street,, Pondicherry - 605001, Opp to Anjappar Hotel,Jeyam Medical."
60,Dr. Hemalatha,4.0,Verygood,General Physician Doctors,"  No 105, M G Road, Muthialpet, Pondicherry - 605003"
61,Dr. Nellian A R,3.4,Verygood,General Physician Doctors,"  M G Road, Muthialpet, Pondicherry - 605003"
62,Dr. Sivadhasan,4.4,Excellent,General Physician Doctors,"  No 2, Police Street, Mudaliarpet, Pondicherry - 605004"
63,Dr. Muthaiyan r,5.0,Excellent,General Physician Doctors,"  No 96, Bussy Street, Puducherry H O, Pondicherry - 605001"
64,Dr. Chitra Banu,3.1,Verygood,General Physician Doctors,"  No 194, Bussy Street, Pondicherry - 605001"
65,Dr. Dumont M A,4.3,Verygood,General Physician Doctors,"  No 90 Ashwini Maternity Hospital, Vazhudavur Main Road, Thattanchavadi, Pondicherry - 605009, Vvp Nagar"
66,Dharmarajan Vaidya Salai,3.6,Verygood,General Physician Doctors,"  No 109, Reddiar Palayam, Pondicherry - 605010"
67,Dr. Shyamala,5.0,Excellent,General Physician Doctors,"  No 278-A, Maraimalai Adigal Salai, Kosapalayam, Pondicherry - 605013, Near New Bus Stop Near Nellithopu Signal"
68,Dr. Shanthi Michael,4.4,Excellent,General Physician Doctors,"  A G Padmavathi Hospital R S 127/ 1 A, Villiayanoor Main Road, Pondicherry - 605001, Arumparthapuram"
69,Sri Ramachandra Hospital In..,4.0,Verygood,General Physician Doctors,"  Sri Arunachalam Hospital, Chinnasuburaya Pillai Street, Pondicherry - 605001"
70,Dr. Nallam p,4.4,Excellent,General Physician Doctors,"  No 160, Busssy street, Pondicherry - 605001, Near chinnakadai"
71,Sivagangai Eye Clinic & Opt..,5.0,Excellent,General Physician Doctors,"  No 122, Bussy Street, Puducherry H O, Pondicherry - 605001"
72,Dr. Narayana Swamy m,4.5,Excellent,General Physician Doctors,"  No 225/F, Chetty Street, Pondicherry - 605001"
73,Dr. Jayaveerakumar t,5.0,Excellent,General Physician Doctors,"  Muthialpet, Pondicherry - 605003, Near Government Of Puducherry Institution Opposite Mahathma Gandhi College Road"
74,Dr. Uma Shankar v,4.3,Excellent,General Physician Doctors,"  No 18/2, Nellikuppam Road, Cuddalore HO, PONDICHERRY - 607001"
75,Gnanam Medical & Clinic,5.0,Excellent,General Physician Doctors,"  No 430, Vazhudavur Main Road, Thattanchavadi, Pondicherry - 605009, Muthirapalayam Near Aruna Medicals"
76,Raghu Eye Clinic,5.0,Excellent,General Physician Doctors,"  No:49, Villainur Main Road, Pavazha Nagar, Nellithope, Pondicherry - 605005, Opp to Ezhainagathamman Kovil"
77,Dr. Puviarasan l,5.0,Excellent,General Physician Doctors,"  Pillaitottam, Pondicherry - 605013"
78,Tiru Medical Center,4.9,Excellent,General Physician Doctors,"  No 59, M M Koil Street, Nellithope, Pondicherry - 605005, Orleanpet"
79,Dr. Baskar k,3.5,Verygood,General Physician Doctors,"  133, 100 Feet Road, Mudaliarpet, Pondicherry - 605004, Between RTO Office and Sunway Manor GRT Hotel"
80,Kamala Nursing Home,3.0,Good,General Physician Doctors,"  No 63 1st Floor, Mariamman Koil Street, Lawspet, Pondicherry - 605008, Kottupalayam"
81,Dr. Chandra Mouli Y v,4.5,Excellent,General Physician Doctors,"  No 66, Kandappa Mudali Street, Puducherry H O, Pondicherry - 605001"
82,Dr. Sheik Anwar Hussain,4.5,Excellent,General Physician Doctors,"  No 401, M G Road, Puducherry H O, Pondicherry - 605001"
83,Dr. Varalakshmi,2.3,Good,General Physician Doctors,"  A G Padmavathi Hospital R S 127/ 1 A, Villiayanoor Main Road, Pondicherry - 605001, Arumparthapuram"
